name,bit_width
model.model.layers.0.linear_attn.in_proj_ba,4
model.model.layers.0.linear_attn.in_proj_qkvz,3
model.model.layers.0.linear_attn.out_proj,3
model.model.layers.0.mlp.experts.down_proj.expert_0,4
model.model.layers.0.mlp.experts.down_proj.expert_1,3
model.model.layers.0.mlp.experts.down_proj.expert_10,4
model.model.layers.0.mlp.experts.down_proj.expert_100,4
model.model.layers.0.mlp.experts.down_proj.expert_101,3
model.model.layers.0.mlp.experts.down_proj.expert_102,3
model.model.layers.0.mlp.experts.down_proj.expert_103,3
model.model.layers.0.mlp.experts.down_proj.expert_104,4
model.model.layers.0.mlp.experts.down_proj.expert_105,4
model.model.layers.0.mlp.experts.down_proj.expert_106,3
model.model.layers.0.mlp.experts.down_proj.expert_107,2
model.model.layers.0.mlp.experts.down_proj.expert_108,3
model.model.layers.0.mlp.experts.down_proj.expert_109,3
model.model.layers.0.mlp.experts.down_proj.expert_11,4
model.model.layers.0.mlp.experts.down_proj.expert_110,3
model.model.layers.0.mlp.experts.down_proj.expert_111,3
model.model.layers.0.mlp.experts.down_proj.expert_112,4
model.model.layers.0.mlp.experts.down_proj.expert_113,4
model.model.layers.0.mlp.experts.down_proj.expert_114,3
model.model.layers.0.mlp.experts.down_proj.expert_115,4
model.model.layers.0.mlp.experts.down_proj.expert_116,4
model.model.layers.0.mlp.experts.down_proj.expert_117,4
model.model.layers.0.mlp.experts.down_proj.expert_118,4
model.model.layers.0.mlp.experts.down_proj.expert_119,4
model.model.layers.0.mlp.experts.down_proj.expert_12,2
model.model.layers.0.mlp.experts.down_proj.expert_120,3
model.model.layers.0.mlp.experts.down_proj.expert_121,4
model.model.layers.0.mlp.experts.down_proj.expert_122,3
model.model.layers.0.mlp.experts.down_proj.expert_123,4
model.model.layers.0.mlp.experts.down_proj.expert_124,3
model.model.layers.0.mlp.experts.down_proj.expert_125,4
model.model.layers.0.mlp.experts.down_proj.expert_126,3
model.model.layers.0.mlp.experts.down_proj.expert_127,4
model.model.layers.0.mlp.experts.down_proj.expert_128,3
model.model.layers.0.mlp.experts.down_proj.expert_129,3
model.model.layers.0.mlp.experts.down_proj.expert_13,4
model.model.layers.0.mlp.experts.down_proj.expert_130,4
model.model.layers.0.mlp.experts.down_proj.expert_131,3
model.model.layers.0.mlp.experts.down_proj.expert_132,3
model.model.layers.0.mlp.experts.down_proj.expert_133,3
model.model.layers.0.mlp.experts.down_proj.expert_134,3
model.model.layers.0.mlp.experts.down_proj.expert_135,3
model.model.layers.0.mlp.experts.down_proj.expert_136,4
model.model.layers.0.mlp.experts.down_proj.expert_137,3
model.model.layers.0.mlp.experts.down_proj.expert_138,4
model.model.layers.0.mlp.experts.down_proj.expert_139,3
model.model.layers.0.mlp.experts.down_proj.expert_14,4
model.model.layers.0.mlp.experts.down_proj.expert_140,3
model.model.layers.0.mlp.experts.down_proj.expert_141,4
model.model.layers.0.mlp.experts.down_proj.expert_142,3
model.model.layers.0.mlp.experts.down_proj.expert_143,4
model.model.layers.0.mlp.experts.down_proj.expert_144,4
model.model.layers.0.mlp.experts.down_proj.expert_145,4
model.model.layers.0.mlp.experts.down_proj.expert_146,4
model.model.layers.0.mlp.experts.down_proj.expert_147,4
model.model.layers.0.mlp.experts.down_proj.expert_148,3
model.model.layers.0.mlp.experts.down_proj.expert_149,2
model.model.layers.0.mlp.experts.down_proj.expert_15,3
model.model.layers.0.mlp.experts.down_proj.expert_150,4
model.model.layers.0.mlp.experts.down_proj.expert_151,4
model.model.layers.0.mlp.experts.down_proj.expert_152,4
model.model.layers.0.mlp.experts.down_proj.expert_153,3
model.model.layers.0.mlp.experts.down_proj.expert_154,4
model.model.layers.0.mlp.experts.down_proj.expert_155,3
model.model.layers.0.mlp.experts.down_proj.expert_156,4
model.model.layers.0.mlp.experts.down_proj.expert_157,3
model.model.layers.0.mlp.experts.down_proj.expert_158,4
model.model.layers.0.mlp.experts.down_proj.expert_159,3
model.model.layers.0.mlp.experts.down_proj.expert_16,3
model.model.layers.0.mlp.experts.down_proj.expert_160,2
model.model.layers.0.mlp.experts.down_proj.expert_161,3
model.model.layers.0.mlp.experts.down_proj.expert_162,4
model.model.layers.0.mlp.experts.down_proj.expert_163,3
model.model.layers.0.mlp.experts.down_proj.expert_164,3
model.model.layers.0.mlp.experts.down_proj.expert_165,4
model.model.layers.0.mlp.experts.down_proj.expert_166,4
model.model.layers.0.mlp.experts.down_proj.expert_167,4
model.model.layers.0.mlp.experts.down_proj.expert_168,3
model.model.layers.0.mlp.experts.down_proj.expert_169,4
model.model.layers.0.mlp.experts.down_proj.expert_17,3
model.model.layers.0.mlp.experts.down_proj.expert_170,4
model.model.layers.0.mlp.experts.down_proj.expert_171,4
model.model.layers.0.mlp.experts.down_proj.expert_172,3
model.model.layers.0.mlp.experts.down_proj.expert_173,3
model.model.layers.0.mlp.experts.down_proj.expert_174,3
model.model.layers.0.mlp.experts.down_proj.expert_175,4
model.model.layers.0.mlp.experts.down_proj.expert_176,4
model.model.layers.0.mlp.experts.down_proj.expert_177,4
model.model.layers.0.mlp.experts.down_proj.expert_178,3
model.model.layers.0.mlp.experts.down_proj.expert_179,4
model.model.layers.0.mlp.experts.down_proj.expert_18,3
model.model.layers.0.mlp.experts.down_proj.expert_180,4
model.model.layers.0.mlp.experts.down_proj.expert_181,4
model.model.layers.0.mlp.experts.down_proj.expert_182,3
model.model.layers.0.mlp.experts.down_proj.expert_183,4
model.model.layers.0.mlp.experts.down_proj.expert_184,3
model.model.layers.0.mlp.experts.down_proj.expert_185,3
model.model.layers.0.mlp.experts.down_proj.expert_186,3
model.model.layers.0.mlp.experts.down_proj.expert_187,4
model.model.layers.0.mlp.experts.down_proj.expert_188,3
model.model.layers.0.mlp.experts.down_proj.expert_189,3
model.model.layers.0.mlp.experts.down_proj.expert_19,4
model.model.layers.0.mlp.experts.down_proj.expert_190,4
model.model.layers.0.mlp.experts.down_proj.expert_191,2
model.model.layers.0.mlp.experts.down_proj.expert_192,4
model.model.layers.0.mlp.experts.down_proj.expert_193,3
model.model.layers.0.mlp.experts.down_proj.expert_194,3
model.model.layers.0.mlp.experts.down_proj.expert_195,3
model.model.layers.0.mlp.experts.down_proj.expert_196,3
model.model.layers.0.mlp.experts.down_proj.expert_197,4
model.model.layers.0.mlp.experts.down_proj.expert_198,4
model.model.layers.0.mlp.experts.down_proj.expert_199,4
model.model.layers.0.mlp.experts.down_proj.expert_2,4
model.model.layers.0.mlp.experts.down_proj.expert_20,4
model.model.layers.0.mlp.experts.down_proj.expert_200,4
model.model.layers.0.mlp.experts.down_proj.expert_201,3
model.model.layers.0.mlp.experts.down_proj.expert_202,4
model.model.layers.0.mlp.experts.down_proj.expert_203,3
model.model.layers.0.mlp.experts.down_proj.expert_204,2
model.model.layers.0.mlp.experts.down_proj.expert_205,3
model.model.layers.0.mlp.experts.down_proj.expert_206,4
model.model.layers.0.mlp.experts.down_proj.expert_207,3
model.model.layers.0.mlp.experts.down_proj.expert_208,4
model.model.layers.0.mlp.experts.down_proj.expert_209,4
model.model.layers.0.mlp.experts.down_proj.expert_21,3
model.model.layers.0.mlp.experts.down_proj.expert_210,3
model.model.layers.0.mlp.experts.down_proj.expert_211,3
model.model.layers.0.mlp.experts.down_proj.expert_212,3
model.model.layers.0.mlp.experts.down_proj.expert_213,2
model.model.layers.0.mlp.experts.down_proj.expert_214,4
model.model.layers.0.mlp.experts.down_proj.expert_215,3
model.model.layers.0.mlp.experts.down_proj.expert_216,4
model.model.layers.0.mlp.experts.down_proj.expert_217,4
model.model.layers.0.mlp.experts.down_proj.expert_218,4
model.model.layers.0.mlp.experts.down_proj.expert_219,3
model.model.layers.0.mlp.experts.down_proj.expert_22,4
model.model.layers.0.mlp.experts.down_proj.expert_220,2
model.model.layers.0.mlp.experts.down_proj.expert_221,3
model.model.layers.0.mlp.experts.down_proj.expert_222,3
model.model.layers.0.mlp.experts.down_proj.expert_223,4
model.model.layers.0.mlp.experts.down_proj.expert_224,3
model.model.layers.0.mlp.experts.down_proj.expert_225,3
model.model.layers.0.mlp.experts.down_proj.expert_226,4
model.model.layers.0.mlp.experts.down_proj.expert_227,2
model.model.layers.0.mlp.experts.down_proj.expert_228,4
model.model.layers.0.mlp.experts.down_proj.expert_229,3
model.model.layers.0.mlp.experts.down_proj.expert_23,3
model.model.layers.0.mlp.experts.down_proj.expert_230,4
